,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
Capacite,5.31149441341614,1.9309042716191858,15.77778177594181,1.9577493068751646,3.232508193454241,69.14860519310785,0.9645921190294546,0.8830603207168058,0.7864783371473919,0.006826068691959754,6.287623462259531e-31
prix_billet_moyen,17.099147566241097,0.8341527126398894,6.874827093048312,4.347969363754738,0.0017176644666105907,7.830612722367988,9.25546662395572,2.090850950346627,41.14948484609915,10.515770457079872,2.340897327838691e-29
temperature,8.313463974775726,2.7142137328354887,9.67634927701393,0.9306524442306889,40.47176203122919,12.407319522749892,3.033491887735471,15.881256466660254,6.0665967717744556,0.5048938909948564,4.063061830602818e-30
Recette_Moyenne,18.755632036945908,1.4365872048574286,1.999979412441041,0.05284700882273863,1.6669824580678456,0.2115859009346213,7.102812707027095,33.032852156350145,35.429768886215236,0.3109522283379671,5.916344356566288e-32
isDerby,16.49270715588936,1.8805608226636306,27.451645019939647,0.005749000492827288,0.0861814425803429,1.7885135373728933,0.009432177294197713,2.1058270037383466,0.15387954273483126,0.025504297293956896,49.999999999999986
is_important_match,0.0030509207696640486,0.016843592811598078,0.0736520445395241,90.62061384744307,1.2233388117734982,2.677060450681613,3.1320364846770152,0.0005504181232925235,2.16213694172571,0.09071648745488953,4.607446946118338e-31
is_top_team_home,8.519932443341542,8.811481860774979,0.461517188425062,1.1343540783120043,0.7412344384535507,0.19437612794852666,66.8655082629704,11.04750164161191,2.2131450084565585,0.01094894970541739,7.557138485476551e-30
est_weekend,4.969226575563551,30.058546579746526,0.25342013028651583,0.835754398593229,2.820043293977247,3.142678376820449,5.190769486128023,3.692366004740697,0.8436909232805111,48.1935042308633,8.790842557120181e-29
mois,2.8223170708845484,12.819538380761989,9.464153067780424,0.02711607494496718,48.7477783167569,9.504251312138288e-05,3.3093651083208115,21.50549919996944,1.2715978520734772,0.0325398859943136,2.1424255267058953e-32
jour_semaine,1.2203206862830855,37.616610018625735,0.5150299706441809,0.08144547603762758,0.9222719066601452,0.8106395881300993,1.1270929655675754,7.654408834004116,9.769341347757901,40.28283920628954,7.161018484447361e-29
derby_top_team,16.49270715588935,1.8805608226636332,27.45164501993962,0.005749000492827415,0.08618144258034355,1.788513537372894,0.009432177294196905,2.1058270037383546,0.15387954273483126,0.025504297293963453,50.000000000000014
