Competition,saison,Stade,Ville,Capacite,Equipe_Home,Equipe_Away,Score,isDerby,PhaseImportance,is_important_match,is_top_team_home,affluence_moyenne,date_Match,heure_match,prix_billet_moyen,temperature,Recette_Moyenne,source_file,type_affluence,affluence_moyenne_originale,taux_occupation,annee,mois,jour_semaine,est_weekend,categorie_stade,derby_top_team,is_outlier_affluence,is_outlier_taux,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
Botola Pro,2019/2020,Stade Mohamed V,Casablanca,67000,Club Athletic Youssoufia Berrechid,Difaâ El Jadida,01:00,False,1,False,False,20279.718042704262,2020-10-10,16:00,60,20.3,1200000,botola_2019_2020_matches.csv,moyenne,20000,30.268235884633228,2020.0,10.0,5.0,1,,0,False,False,-0.7473189169035792,1.3977251864811804,-0.6672121653927622,-0.27639456139204,0.8167097346638953,1.74787320528909,0.10337052836096847,-0.05256598083789157,-0.0670797145565231,0.03243704744379476,-3.8888958209614347e-16
Botola Pro,2019/2020,Stade Municipale de Oued Zem,Oued Zem,8000,Rapide Oued Zem,Ittihad Tanger,05:03,False,1,False,False,5245.831593243295,2020-10-10,18:00,60,23.7,303780,botola_2019_2020_matches.csv,moyenne,5063,65.57289491554118,2020.0,10.0,5.0,1,Moyen,0,False,False,-1.6521146487845597,1.6367488457085229,0.6509434992459997,-0.726628386311036,-0.089947378058076,-0.24843541177612669,0.29681240148338295,0.37381037294284547,-0.02546196367109953,0.06993858618537478,-2.806709909296757e-17
Botola Pro,2019/2020,Stade Municipal de Berkane,Berkane,15000,Renaissance Zemamra,Raja Beni Mellal,01:01,False,1,False,False,7058.553150070229,2020-10-10,20:00,60,20.4,386280,botola_2019_2020_matches.csv,moyenne,6438,47.0570210004682,2020.0,10.0,5.0,1,Moyen,0,False,False,-1.3754997937716718,1.7057325432018893,0.3103398756022917,-0.615979470899835,0.39641125561291174,-0.22073899959712526,0.37869874328389147,0.08351977275562471,-0.17388935750141118,0.02352554941377387,-1.9460055278674105e-16
Botola Pro,2019/2020,Stade Saniat-Rmel,Tetouan,15000,Moghreb Atlético Tétouan,Olympique Khouribga,02:01,False,1,False,False,9389.32534879026,2020-10-10,20:00,60,20.1,525000,botola_2019_2020_matches.csv,moyenne,8750,62.595502325268406,2020.0,10.0,5.0,1,Moyen,0,False,False,-1.3453856346286535,1.7192967829643662,0.2871520590944791,-0.6093841126117333,0.4318907689122884,-0.24373743345884333,0.38181298932223456,0.07539335800145551,-0.2060452792964341,0.017559161819284894,-1.9460055278674105e-16
Botola Pro,2019/2020,Stade Mohamed V,Casablanca,67000,Raja Club Athletic,AS FAR Rabat,02:01,False,1,False,True,22829.1619517754,2020-11-10,20:00,60,20.8,1200000,botola_2019_2020_matches.csv,moyenne,20000,34.07337604742597,2020.0,11.0,1.0,0,,0,False,False,0.444230085441306,-2.104116788196846,-0.4879961475222778,-0.30680668467117106,0.5098361352384245,1.106707589203113,0.9580878211249444,-0.014516529294299479,-0.18359302851530604,0.08281701653783471,2.4948865706332154e-16
Botola Pro,2019/2020,Complexe Sportif du Phosphate,Khouribga,15000,Olympique Safi,Renaissance de Berkane,00:01,False,1,False,False,6881.600668318882,2020-11-10,20:00,60,23.3,386280,botola_2019_2020_matches.csv,moyenne,6438,45.87733778879255,2020.0,11.0,1.0,0,Moyen,0,False,False,-0.9451474832008535,-1.2475542997956102,0.7868725194682318,-0.9198377779664119,-0.04115021240600398,-0.5948973651809001,-0.5869961607363724,-0.3872385457317182,-0.48467614927954167,0.08670442590216323,-2.806709909296757e-17
Botola Pro,2019/2020,Stade Adrar,Agadir,45480,Hassania d'Agadir,Mouloudia d'Oujda,00:01,False,1,False,False,6990.390099996133,2020-11-10,20:00,60,27.2,402840,botola_2019_2020_matches.csv,moyenne,6714,15.370250879498974,2020.0,11.0,1.0,0,Grand,0,False,False,-0.8521985411520873,-1.5732854877756466,0.4799752577953837,-0.8013354678664583,-0.299359488512405,0.8495161679328128,-0.8646172809482526,-0.19772608518388035,-0.16558428997742958,0.15493431668035118,2.7444052138290252e-17
Botola Pro,2019/2020,Stade Prince Moulay Hassan,Rabat,22000,FUS Rabat,Wydad Casablanca,01:02,False,1,False,True,2937.5733533816224,2020-11-10,20:00,60,20.2,144000,botola_2019_2020_matches.csv,moyenne,2400,13.352606151734648,2020.0,11.0,1.0,0,Moyen,0,False,False,-0.09012185940585474,-1.8230390483603718,0.32437617091118176,-0.5887512826830787,0.24509270121005258,-0.6431946639098569,1.2401867430424398,0.005492203706941252,-0.26762951736786633,0.06913169680639555,3.882665351414661e-16
Botola Pro,2019/2020,Stade Mohamed V,Casablanca,67000,Club Athletic Youssoufia Berrechid,Difaâ El Jadida,01:00,False,1,False,False,21738.90610875805,2020-10-10,16:00,60,20.3,1200000,botola_2019_2020_matches.csv,moyenne,20000,32.44612852053441,2020.0,10.0,5.0,1,,0,False,False,-0.7473189169035792,1.3977251864811804,-0.6672121653927622,-0.27639456139204,0.8167097346638953,1.74787320528909,0.10337052836096847,-0.05256598083789157,-0.0670797145565231,0.03243704744379476,-3.8888958209614347e-16
Botola Pro,2019/2020,Stade Municipale de Oued Zem,Oued Zem,8000,Rapide Oued Zem,Ittihad Tanger,05:03,False,1,False,False,5499.433634330587,2020-10-10,18:00,60,23.7,303780,botola_2019_2020_matches.csv,moyenne,5063,68.74292042913234,2020.0,10.0,5.0,1,Moyen,0,False,False,-1.6521146487845597,1.6367488457085229,0.6509434992459997,-0.726628386311036,-0.089947378058076,-0.24843541177612669,0.29681240148338295,0.37381037294284547,-0.02546196367109953,0.06993858618537478,-2.806709909296757e-17
